protocol_name,url,program,primary_sp,sp_class,fossil_displacement,notes
ACR Destruction of Ozone Depleting Substances from International Sources,https://acrcarbon.org/wp-content/uploads/2023/09/ACR-ODS-International-v1.0-2021-04.pdf,ACR,CFC,long-lived,no,
CAR Article 5 Ozone Depleting Substances Protocol,https://climateactionreserve.org/wp-content/uploads/2024/06/Article_5_ODS_Project_Protocol_V2.0.pdf,CAR,CFC,long-lived,no,
ACR Destruction of Ozone Depleting Substances and High-GWP Foam,https://acrcarbon.org/wp-content/uploads/2023/03/ACR-ODS-v2.0-Destruction-of-ODS-High-GWP-Foam.pdf,ACR,"CFC, HCFC",mixed,no,
ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,https://ww2.arb.ca.gov/sites/default/files/barcu/regact/2014/capandtrade14/ctodsprotocol.pdf?_gl=1*fxn3ev*_ga*MTY4NTE0MjI4OS4xNzgyMjUwNDQz*_ga_7M1ZZPXDBL*czE3ODU3ODI4NDQkbzMkZzEkdDE3ODU3ODI5MjgkajUyJGwwJGgw,ARB,"CFC, HCFC",mixed,no,Two versions; no substantive difference on info captured
CAR U.S. Ozone Depleting Substances Protocol,https://climateactionreserve.org/wp-content/uploads/2024/06/U.S._ODS_Project_Protocol_V2.0.pdf,CAR,"CFC, HCFC",mixed,no,
ECY Compliance Offset Protocol: Ozone Depleting Substances Projects (ODS),https://apps.ecology.wa.gov/publications/documents/2514046.pdf,ECY,"CFC, HCFC",mixed,no,
ACR Advanced Refrigeration Systems,https://acrcarbon.org/wp-content/uploads/2021/08/ACR-ARS-Methodology-v3.0-2024-11.pdf,ACR,"CFC, HFC, HCFC ",mixed,no,
VM0016 Recovery and Destruction of Ozone-Depleting Substances (ODS) from Products,https://verra.org/methodologies/vm0016-destruction-of-ozone-depleting-substances-and-hydrofluorocarbons-v2-0/,VCS,"CFC, HFC, HCFC",mixed,no,
ACR Capturing and Destroying Methane from Coal and Trona Mines in North America,https://acrcarbon.org/wp-content/uploads/2025/03/ACR-MMC-v1.1.pdf,ACR,CH4,short-lived,no,
ACR Emission Reductions in Rice Management Systems,https://acrcarbon.org/wp-content/uploads/2023/03/rice-meth-acr-v1-0_july-2013_finalcp.pdf,ACR,CH4,short-lived,no,
ACR Landfill Gas Destruction and Beneficial Use Projects,https://acrcarbon.org/wp-content/uploads/2023/03/ACR-LFG-Methodology-v2.0.pdf,ACR,CH4,short-lived,no,
ACR Plugging of Orphaned Oil and Gas (OOG) Wells,https://acrcarbon.org/methodology/plugging-orphaned-oil-and-gas-wells-2/,ACR,CH4,short-lived,no,Previous version inactive: https://acrcarbon.org/methodology/plugging-orphaned-oil-and-gas-wells/
"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,ACR,CH4,short-lived,no,Methodology not available by name on ACR website; assuming no fossil displacement credited given pattern of other ACR protocols
Offset Project Methodology for Landfill Methane Collection and Combustion,,ACR,CH4,short-lived,no,Methodology not available by name on ACR website; assuming no fossil displacement credited given pattern of other ACR protocols
ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,https://ww2.arb.ca.gov/our-work/programs/compliance-offset-program/compliance-offset-protocols/livestock-projects,ARB,CH4,short-lived,no,Two versions; no substantive difference on info captured
ARB Compliance Offset Protocol: Mine Methane Capture Projects,https://ww2.arb.ca.gov/sites/default/files/barcu/regact/2013/capandtrade13/ctmmcprotocol.pdf?_gl=1*1vva42k*_ga*MTY4NTE0MjI4OS4xNzgyMjUwNDQz*_ga_7M1ZZPXDBL*czE3ODU3ODI4NDQkbzMkZzEkdDE3ODU3ODMzOTEkajM2JGwwJGgw,ARB,CH4,short-lived,no,
CAR Argentina Livestock Protocol,https://climateactionreserve.org/how/protocols/waste/argentina-livestock/,CAR,CH4,short-lived,no,
CAR Mexico Landfill Protocol,https://climateactionreserve.org/how/protocols/waste/mexico-landfill/,CAR,CH4,short-lived,no,
CAR Mexico Livestock Protocol,https://climateactionreserve.org/how/protocols/waste/mexico-livestock/,CAR,CH4,short-lived,no,
CAR U.S. Landfill Protocol,https://climateactionreserve.org/how/protocols/waste/us-landfill/,CAR,CH4,short-lived,no,
CAR U.S. Livestock Protocol,https://climateactionreserve.org/how/protocols/waste/us-livestock/,CAR,CH4,short-lived,no,
CAR U.S. Organic Waste Composting Protocol,https://climateactionreserve.org/how/protocols/waste/organic-waste-composting/,CAR,CH4,short-lived,no,
CAR U.S. Organic Waste Digestion Protocol,https://climateactionreserve.org/how/protocols/waste/organic-waste-digestion/,CAR,CH4,short-lived,no,
ACM0001 Flaring or use of landfill gas,https://cdm.unfccc.int/methodologies/DB/JPYB4DYQUXQPZLBDVPHA87479EMY9M,CDM,CH4,short-lived,yes,
ACM0008 Abatement of methane from coal mines,https://cdm.unfccc.int/methodologies/DB/YSD3FQ5WR3VPC9Q64CDTLXHLFVKKKU,CDM,CH4,short-lived,yes,
ACM0014 Treatment of wastewater,https://cdm.unfccc.int/methodologies/DB/PPKHX1MHNHF6DYVE6SFD2GBPFU92Y2,CDM,CH4,short-lived,yes,
ACM0022 Alternative waste treatment processes,https://cdm.unfccc.int/methodologies/DB/AUR5PLW743TS0OOCWRS55XXT86WV4J,CDM,CH4,short-lived,yes,
