year,co2_flux_lfl,ch4_flux_lfl,cfc12_flux_lfl,co2_justified_lfl,ch4_justified_lfl,n2o_justified_lfl
2004,0.0,0.0,0.0,0.0,0.0,0.0
2005,-145318.0,0.0,0.0,0.0,0.0,0.0
2006,-232921.0,0.0,0.0,0.0,0.0,0.0
2007,-2336482.0,0.0,0.0,0.0,0.0,0.0
2008,-978177.0,0.0,0.0,0.0,0.0,0.0
2009,-727907.0,0.0,0.0,0.0,0.0,0.0
2010,-1083941.0,0.0,0.0,0.0,0.0,0.0
2011,-1958169.0,0.0,0.0,0.0,0.0,0.0
2012,-1265405.0,0.0,0.0,0.0,0.0,0.0
2013,-4277999.0,735.5793636208635,-182.53706422018348,5570331.7244807035,735.5793636208635,15.424974353543535
2014,-8010916.0,749.4824060233392,-167.8602752293578,5569732.563937882,749.4824060233392,16.19554001646702
2015,-10437630.0,2978.431927170153,-166.34761467889908,27148826.66709184,2978.431927170153,758.8285299165501
2016,-30347810.0,0.0,-210.45715596330277,0.0,0.0,0.0
2017,-23562050.0,2879.2779321163057,-219.7416513761468,27154802.802857272,2879.2779321163057,758.2125763538768
2018,-16678501.0,2766.9661502084286,-203.9283486238532,27436679.16912705,2766.9661502084286,715.1661108690631
2019,-16434141.0,0.0,-149.48247706422018,0.0,0.0,0.0
2020,-5118177.0,2133.4494796790937,-85.89550458715595,27463789.909222566,2133.4494796790937,732.0068951860528
2021,-4012345.0,892.5414653173497,-55.962660550458715,11340335.38820317,892.5414653173497,262.1809125085681
2022,-1250779.0,0.0,-35.85614678899083,0.0,0.0,0.0
2023,-117784.0,1048.3055775332857,-21.849174311926607,11395561.684988214,1048.3055775332857,264.92078121764393
2024,-5761.0,166.29078811986284,-15.84605504587156,1903843.512228763,166.29078811986284,48.00806197632851
2025,0.0,0.0,0.0,0.0,0.0,0.0
2104,0.0,0.0,0.0,0.0,0.0,0.0
2105,145318.0,0.0,0.0,0.0,0.0,0.0
2106,232921.0,0.0,0.0,0.0,0.0,0.0
2107,2336482.0,0.0,0.0,0.0,0.0,0.0
2108,978177.0,0.0,0.0,0.0,0.0,0.0
2109,727907.0,0.0,0.0,0.0,0.0,0.0
2110,1083941.0,0.0,0.0,0.0,0.0,0.0
2111,1958169.0,0.0,0.0,0.0,0.0,0.0
2112,1265405.0,0.0,0.0,0.0,0.0,0.0
2113,4277999.0,0.0,0.0,0.0,0.0,0.0
2114,8010916.0,0.0,0.0,0.0,0.0,0.0
2115,10437630.0,0.0,0.0,0.0,0.0,0.0
2116,30347810.0,0.0,0.0,0.0,0.0,0.0
2117,23562050.0,0.0,0.0,0.0,0.0,0.0
2118,16678501.0,0.0,0.0,0.0,0.0,0.0
2119,16434141.0,0.0,0.0,0.0,0.0,0.0
2120,5118177.0,0.0,0.0,0.0,0.0,0.0
2121,4012345.0,0.0,0.0,0.0,0.0,0.0
2122,1250779.0,0.0,0.0,0.0,0.0,0.0
2123,117784.0,0.0,0.0,0.0,0.0,0.0
2124,5761.0,0.0,0.0,0.0,0.0,0.0
2125,0.0,0.0,0.0,0.0,0.0,0.0
