year,ch4_flux,co2_flux,cfc-12_flux,total_credits_used
2004,0.0,0.0,0.0,0.0
2005,0.0,-145318.0,0.0,145318.0
2006,0.0,-232921.0,0.0,323056.0
2007,0.0,-2336482.0,0.0,2382582.0
2008,0.0,-978177.0,0.0,1007568.0
2009,0.0,-727907.0,0.0,1352528.0
2010,0.0,-1083941.0,0.0,2245862.0
2011,0.0,-1958169.0,0.0,4570438.0
2012,0.0,-1265405.0,0.0,4488422.0
2013,-48007.666666666664,-4277999.0,-182.53706422018348,7275814.0
2014,-87167.85714285714,-8010916.0,-167.8602752293578,11671118.0
2015,-63755.71428571428,-10437630.0,-166.34761467889908,13589689.0
2016,-85701.57142857143,-30347810.0,-210.45715596330277,34441526.0
2017,-72741.28571428571,-23562050.0,-219.7416513761468,27484801.0
2018,-69306.76190476191,-16678501.0,-203.9283486238532,20356762.0
2019,-50365.666666666664,-16434141.0,-149.48247706422018,19121179.0
2020,-41319.142857142855,-5118177.0,-85.89550458715595,6922140.0
2021,-34434.12,-4012345.0,-55.962660550458715,5483191.0
2022,-42234.56,-1250779.0,-35.85614678899083,2697475.0
2023,-42620.4,-117784.0,-21.849174311926607,1421450.0
2024,-3496.44,-5761.0,-15.84605504587156,265894.0
2025,0.0,0.0,0.0,7000.0
2104,0.0,0.0,0.0,0.0
2105,0.0,145318.0,0.0,0.0
2106,0.0,232921.0,0.0,0.0
2107,0.0,2336482.0,0.0,0.0
2108,0.0,978177.0,0.0,0.0
2109,0.0,727907.0,0.0,0.0
2110,0.0,1083941.0,0.0,0.0
2111,0.0,1958169.0,0.0,0.0
2112,0.0,1265405.0,0.0,0.0
2113,0.0,4277999.0,0.0,0.0
2114,0.0,8010916.0,0.0,0.0
2115,0.0,10437630.0,0.0,0.0
2116,0.0,30347810.0,0.0,0.0
2117,0.0,23562050.0,0.0,0.0
2118,0.0,16678501.0,0.0,0.0
2119,0.0,16434141.0,0.0,0.0
2120,0.0,5118177.0,0.0,0.0
2121,0.0,4012345.0,0.0,0.0
2122,0.0,1250779.0,0.0,0.0
2123,0.0,117784.0,0.0,0.0
2124,0.0,5761.0,0.0,0.0
2125,0.0,0.0,0.0,0.0
