year,ch4_flux,co2_flux,cfc-12_flux
2004,0.0,0.0,0.0
2005,0.0,-145318.0,0.0
2006,-4292.142857142857,-232921.0,0.0
2007,-2195.2380952380954,-2336482.0,0.0
2008,-1399.5714285714287,-978177.0,0.0
2009,-29743.857142857145,-727907.0,0.0
2010,-11670.333333333332,-1083941.0,-84.11412844036697
2011,-23258.61904761905,-1958169.0,-194.8475229357798
2012,-27402.0,-1265405.0,-242.89678899082568
2013,-48007.666666666664,-4277999.0,-182.53706422018348
2014,-87167.85714285714,-8010916.0,-167.8602752293578
2015,-63755.71428571428,-10437630.0,-166.34761467889908
2016,-85701.57142857143,-30347810.0,-210.45715596330277
2017,-72741.28571428571,-23562050.0,-219.7416513761468
2018,-69306.76190476191,-16678501.0,-203.9283486238532
2019,-50365.666666666664,-16434141.0,-149.48247706422018
2020,-41319.142857142855,-5118177.0,-85.89550458715595
2021,-34434.12,-4012345.0,-55.962660550458715
2022,-42234.56,-1250779.0,-35.85614678899083
2023,-42620.4,-117784.0,-21.849174311926607
2024,-3496.44,-5761.0,-15.84605504587156
2025,-280.0,0.0,0.0
2104,0.0,0.0,0.0
2105,0.0,145318.0,0.0
2106,0.0,232921.0,0.0
2107,0.0,2336482.0,0.0
2108,0.0,978177.0,0.0
2109,0.0,727907.0,0.0
2110,0.0,1083941.0,0.0
2111,0.0,1958169.0,0.0
2112,0.0,1265405.0,0.0
2113,0.0,4277999.0,0.0
2114,0.0,8010916.0,0.0
2115,0.0,10437630.0,0.0
2116,0.0,30347810.0,0.0
2117,0.0,23562050.0,0.0
2118,0.0,16678501.0,0.0
2119,0.0,16434141.0,0.0
2120,0.0,5118177.0,0.0
2121,0.0,4012345.0,0.0
2122,0.0,1250779.0,0.0
2123,0.0,117784.0,0.0
2124,0.0,5761.0,0.0
2125,0.0,0.0,0.0
